City,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
Ribeira Grande,38.52,-28.7,66.63,83,72,10.38
Okhotsk,59.38,143.3,37.87,82,100,16.33
Albany,42.6,-73.97,49.01,73,37,11.99
Vaini,-21.2,-175.2,75.2,88,90,11.41
Nacala,-14.54,40.67,73.74,90,0,2.15
Imbituba,-28.24,-48.67,75.2,73,75,9.17
Fortuna,40.6,-124.16,58.08,67,1,13.87
Ushuaia,-54.8,-68.3,48.2,57,75,13.87
Barrow,71.29,-156.79,30.2,92,90,12.75
Dikson,73.51,80.55,22.28,94,13,5.68
Quatre Cocos,-20.21,57.76,70.77,88,75,13.87
Alcúdia,39.85,3.12,58.12,76,0,4.7
Sibolga,1.74,98.78,76.82,80,100,2.46
Port Alfred,-33.59,26.89,65.66,89,8,5.37
Houma,29.6,-90.72,78.19,65,40,8.05
East London,-33.02,27.91,69.44,83,4,0.4
Souillac,-20.52,57.52,71.6,88,75,13.87
Hong Kong,22.29,114.16,70.84,69,98,20.29
Husavik,66.04,-17.34,42.8,70,90,21.92
Belyy Yar,53.6,91.39,26.6,53,0,13.42
Lüderitz,-26.65,15.16,61.23,74,17,16.02
Qingdao,36.1,120.37,42.8,87,0,4.85
Busselton,-33.65,115.33,53.65,76,53,5.99
Kozhva,65.11,57.05,24.26,97,100,7.4
Tessalit,20.2,1.01,82.38,15,0,11.59
Mataura,-46.19,168.86,70.03,52,94,12.53
Honningsvåg,70.98,25.97,39.15,86,100,16.91
Onguday,50.75,86.15,20.55,83,0,3.04
Minot,48.23,-101.3,24.26,58,90,9.17
Saint George,37.1,-113.58,78.01,29,1,4.7
Kahului,20.89,-156.47,83.05,58,20,8.05
Jamestown,42.1,-79.24,41.2,80,90,5.82
Nikolskoye,59.7,30.79,38.17,93,40,2.24
Mar del Plata,-38.0,-57.56,59.18,93,90,6.93
Punta Arenas,-53.15,-70.92,42.39,93,90,13.87
Chara,56.91,118.26,20.46,90,9,1.21
Port Moresby,-9.44,147.18,79.54,80,77,1.23
Province of Mantua,45.17,10.78,53.62,95,1,1.01
Rikitea,-23.12,-134.97,74.7,83,88,22.82
Cherskiy,68.75,161.3,17.02,93,4,4.94
Tuktoyaktuk,69.45,-133.04,15.8,92,75,8.05
Lata,40.16,-8.33,61.66,78,99,8.99
Kapaa,22.08,-159.32,81.41,69,40,14.99
Pamekasan,-7.16,113.47,80.89,78,68,3.27
Hilo,19.73,-155.09,78.87,70,90,11.41
Harper,4.38,-7.72,77.97,86,83,5.73
Lukulu,-14.37,23.24,71.55,26,51,5.41
Raudeberg,61.99,5.14,48.29,75,100,23.04
Qaanaaq,77.48,-69.36,17.28,91,100,13.04
Dalby,-27.18,151.27,73.0,72,0,4.0
Chokurdakh,70.63,147.92,15.69,97,100,7.38
West Hartford,41.76,-72.74,58.05,61,99,3.0
Berlevåg,70.86,29.09,38.61,76,100,19.01
Troitsko-Pechorsk,62.71,56.2,27.79,98,100,6.76
Kurchum,48.57,83.65,30.25,81,0,4.9
Nowy Dwór Gdański,54.21,19.12,47.59,87,0,5.82
Omurtag,43.1,26.42,48.2,100,100,2.24
Levice,48.22,18.61,53.49,97,62,2.37
Tateyama,34.98,139.87,55.99,64,27,5.99
Kaitangata,-46.28,169.85,70.09,48,100,10.94
Lorengau,-2.02,147.27,84.38,61,15,6.04
Saldanha,-33.01,17.94,62.6,82,7,8.05
Saint Paul Harbor,57.79,-152.41,46.4,87,20,6.93
Norman Wells,65.28,-126.83,23.0,85,75,4.7
Talaya,61.38,152.75,29.86,95,100,1.05
Tuatapere,-46.13,167.68,67.46,58,97,10.2
Caruray,10.31,119.01,77.0,88,90,4.7
Pilot Butte,50.47,-104.42,21.4,57,90,9.17
Comodoro Rivadavia,-45.87,-67.5,60.8,59,75,14.99
Litovko,49.24,135.17,35.2,87,88,10.0
Hithadhoo,-0.6,73.08,83.3,74,45,10.76
Maseru,-29.32,27.48,65.26,43,26,6.62
Wanning,18.8,110.4,77.4,88,100,16.24
Egvekinot,66.32,-179.17,22.78,96,14,8.08
San Fernando del Valle de Catamarca,-28.47,-65.79,79.45,63,3,11.99
Grand Gaube,-20.01,57.66,70.0,89,35,7.0
Hermanus,-34.42,19.23,62.01,90,29,3.0
Birin,26.89,88.07,57.6,100,44,1.86
Changying,52.87,123.32,25.02,96,0,2.75
Mahébourg,-20.41,57.7,71.6,88,75,13.87
Carnarvon,-24.87,113.63,69.8,100,75,17.22
Yellowknife,62.46,-114.35,25.95,58,40,9.17
Paita,-5.09,-81.11,64.99,78,9,16.71
Ust'-Ordynskiy,52.8,104.75,35.6,93,90,11.18
Bredasdorp,-34.53,20.04,64.4,77,1,12.75
Rusape,-18.53,32.13,60.19,70,0,3.36
Warmbad,-28.45,18.73,73.47,21,43,8.72
Atuona,-9.8,-139.03,78.53,76,1,23.11
Saint-Philippe,-21.36,55.77,64.71,63,0,4.7
Pacific Grove,36.62,-121.92,66.63,63,40,6.93
Caltzontzin,19.43,-102.01,77.0,65,75,2.28
Marsh Harbour,26.54,-77.06,80.46,78,96,12.19
Richards Bay,-28.78,32.04,70.63,80,0,14.83
Petropavlovsk-Kamchatskiy,53.05,158.65,41.0,86,90,8.95
Clyde River,70.47,-68.59,19.4,73,90,4.7
Vestmannaeyjar,63.44,-20.27,46.31,62,82,26.46
Bluff,-46.6,168.33,64.62,60,89,20.09
Castro,-24.79,-50.01,64.31,89,73,4.34
Saint-Leu,-21.15,55.28,64.29,63,0,4.7
Bahía Blanca,-38.72,-62.27,78.93,39,0,12.71
Hofn,64.25,-15.21,43.14,84,100,23.8
San Policarpo,12.18,125.51,79.09,88,100,13.31
